Date,fragment_ID,Chamber.Channel,Chamber ,Position,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20220525,POC-175-25,9,9,12,21,25,Field,0.594,
20220525,POC-175-28,4,4,4,20,28,Field,0.6,
20220525,POC-175-30,4,4,4,21,30,Field,0.59,
20220525,POC-175-32,9,9,12,22,32,Field,0.584,
20220525,POC-175-36,4,4,4,22,36,Field,0.584,
20220526,POC-178-22,7,7,7,23,22,Field,0.606,
20220526,POC-178-25,7,7,7,24,25,Field,0.6,
20220526,POC-178-28,7,7,7,25,28,Field,0.609,
20220526,POC-178-30,2,2,2,23,30,Field,0.595,
20220526,POC-178-32,2,2,2,24,32,Field,0.588,
20220526,POC-178-36,2,2,2,25,36,Field,0.576,
20220526,POC-179-22,8,8,8,23,22,Field,0.604,
20220526,POC-179-25,8,8,8,24,25,Field,0.583,
20220526,POC-179-28,8,8,8,25,28,Field,0.584,
20220526,POC-179-30,3,3,3,23,30,Field,0.6,
20220526,POC-179-32,3,3,3,24,32,Field,0.594,
20220526,POC-179-36,3,3,3,25,36,Field,0.6,
20220529,POC-181-22,7,7,8,28,22,Field,0.598,
20220529,POC-181-25,2,2,2,28,25,Field,0.598,
20220529,POC-181-28,2,2,2,26,28,Field,0.608,
20220529,POC-181-30,7,7,8,26,30,Field,0.593,
20220529,POC-181-32,2,2,2,27,32,Field,0.59,
20220529,POC-181-36,7,7,8,27,36,Field,0.6,
